Business_Name,Country_Region,Category,Contact_Person_Or_Title,Primary_Outreach_Email,Secondary_Email,WhatsApp_Number,Phone_Number,Website_URL,Instagram_Page,Facebook_Page,AI_Visibility_Gap_Signal,Estimated_Monthly_Bleed_USD,Tailored_Pitch_Hook,Touch_1_WhatsApp_Status,Touch_2_Email_Status,Touch_3_Followup_Status,Notes
Lorian Safari Camp,Kenya (Maasai Mara),Boutique Tented Safari Camp,General Manager / Reservations,info@loriansafaricamp.com,reservations@loriansafaricamp.com,2.54769E+11,2.54769E+11,https://loriansafaricamp.com,https://instagram.com/loriansafaricamp,https://facebook.com/loriansafaricamp,"GBP missing secondary categories (Tour Operator, Safari Park); missing FAQ schema for AI indexing.",2800,Lorian Safari Camp is missing 3 key GBP secondary categories that would place you in the top 3 Google local pack for Mara visitors.,Ready to Send (2:45 PM EAT),Ready to Send (6:30 PM EAT),Scheduled,Authentic tented camp.
Almanara Luxury Resort,Kenya (Diani Beach),Luxury Boutique Villas & Beach Resort,Managing Director / GM,info@almanararesort.com,reservations@almanararesort.com,2.54712E+11,2.54712E+11,https://almanararesort.com,https://instagram.com/almanararesort,https://facebook.com/almanararesort,ChatGPT routes private luxury villa queries on Diani Beach to Expedia; Almanara direct domain uncited.,4900,"Almanara has Diani Beach’s most exclusive villas, but AI search engines are directing high-net-worth travelers to OTAs charging 18%.",Ready to Send (2:45 PM EAT),Ready to Send (6:30 PM EAT),Scheduled,Top-tier luxury villas in Kenya.
Asha Boutique Hotel & Bistro,Kenya (Diani Beach),Boutique Beachfront Hotel,General Manager / Host,reservations@ashaboutiquehotel.com,info@ashaboutiquehotel.com,2.54115E+11,2.54115E+11,https://ashaboutiquehotel.com,https://instagram.com/ashaboutiquehotel,https://facebook.com/ashaboutiquehotel,Lacks LodgingBusiness JSON-LD markup; missing from Google AI Overviews for intimate Diani boutique stays.,2600,"Asha Boutique Hotel is leaking an estimated $2,600/mo to Booking.com on Diani stays because search bots cannot parse your room availability.",Ready to Send (2:45 PM EAT),Ready to Send (6:30 PM EAT),Scheduled,Charming boutique hotel on Diani Beach.
Natural World Kenya Safaris,Kenya (Nairobi & Diani Beach),Premier Kenya Safari Tour Operator,Director of Safari Operations,dianisafari@naturaltoursandsafaris.com,info@naturaltoursandsafaris.com,2.54758E+11,2.54758E+11,https://naturaltoursandsafaris.com,https://instagram.com/naturalworldkenyasafaris,https://facebook.com/naturalworldkenyasafaris,"High SEO authority on traditional Google, but Perplexity cites international aggregators for customized Kenya safari itineraries.",4500,"Natural World has exceptional Google rankings, but the new wave of AI trip planners on ChatGPT and Perplexity are giving safari leads to broker sites.",Ready to Send (2:45 PM EAT),Ready to Send (6:30 PM EAT),Scheduled,High volume tour operator ready for GEO upgrade.
Mtito Safari Camp,Kenya (Tsavo / Maasai Mara),Mid-to-High Safari Lodge & Camp,Managing Director,bookings@mtitosafaricamp.com,info@mtitosafaricamp.com,2.54759E+11,2.54795E+11,https://mtitosafaricamp.com,https://instagram.com/mtitosafaricamp,https://facebook.com/mtitosafaricamp,Low direct booking search ranking; Google AI Overviews cite third-party travel blogs.,2500,"Mtito Safari Camp is handing an estimated $2,500/mo to OTA platforms on Tsavo and Mara safari reservations.",Ready to Send (2:45 PM EAT),Ready to Send (6:30 PM EAT),Scheduled,High potential for direct booking lift.
Casa Blanca Boutique Hotel,Namibia (Windhoek),Boutique Hotel & Executive Lodge,General Manager / Owner,reservations@casablancahotel.com.na,info@casablancahotel.com.na,2.64816E+11,26461249623,https://casablancahotel.com.na,https://instagram.com/casablancaboutiquehotel,https://facebook.com/casablancahotelwindhoek,Perplexity query for best boutique stays in Windhoek yields zero direct citations for Casa Blanca.,2700,"Executive and self-drive tourists in Windhoek booking via AI are sent straight to Booking.com, taking 15% off every Casa Blanca room night.",Ready to Send (2:45 PM CAT),Ready to Send (6:30 PM CAT),Scheduled,Pristine Windhoek boutique property.
Atlantic Villa Boutique Guesthouse,Namibia (Swakopmund),Coastal Boutique Guesthouse & Villas,Managing Director,bookings@atlantic-villa.com,events@atlantic-villa.com,26464463511,26464463511,https://atlantic-villa.com,https://instagram.com/atlanticvillaboutique,https://facebook.com/atlanticvillaboutiqueguesthouse,Lacks LodgingBusiness schema; Google 3-pack dropped behind older Swakopmund chain hotels.,3400,"Atlantic Villa has prime Swakopmund ocean views, but is leaking over $3,000 monthly to OTAs due to unoptimized AI crawler access.",Ready to Send (2:45 PM CAT),Ready to Send (6:30 PM CAT),Scheduled,Top coastal destination in Namibia.
Beach Lodge Swakopmund,Namibia (Swakopmund),Oceanfront Boutique Lodge,General Manager / Host,reservations@beachlodge.com.na,info@beachlodge.com.na,2.64811E+11,26464414500,https://beachlodge.com.na,https://instagram.com/beachlodgeswakopmund,https://facebook.com/beachlodgeswakop,ChatGPT fails to cite Beach Lodge for Swakopmund direct beachfront stays; cites aggregators instead.,2900,"Beach Lodge is directly on the water, but travelers asking AI where to stay in Swakopmund are never shown your direct booking rate.",Ready to Send (2:45 PM CAT),Ready to Send (6:30 PM CAT),Scheduled,Prime beachfront property.
Namibia Destinations,Namibia (Windhoek),Bespoke Safari & Self-Drive Tour Operator,Managing Director / Tour Manager,reservations@namibiadestinations.com,info@namibiadestinations.com,2.64817E+11,2.64817E+11,https://namibiadestinations.com,https://instagram.com/namibiadestinations,https://facebook.com/namibiadestinations,Perplexity queries for guided Namibia 4x4 self-drive tours recommend international OTA portals rather than local operators.,3300,Self-drive travelers researching Namibia safari routes via AI are booking through overseas agencies instead of reaching Namibia Destinations direct.,Ready to Send (2:45 PM CAT),Ready to Send (6:30 PM CAT),Scheduled,Key self-drive & safari operator in Windhoek.
Mannor Safaris Namibia,Namibia (Windhoek),Custom Safari & Wildlife Tour Agency,Founder / Lead Guide,info@mannorsafaris.com,bookings@mannorsafaris.com,2.64819E+11,2.64819E+11,https://mannorsafaris.com,https://instagram.com/mannorsafaris,https://facebook.com/mannorsafaris,Missing structured entity markup for wildlife itineraries; absent from ChatGPT top recommendations.,2800,"Mannor Safaris has expert wildlife knowledge, but AI search engines cannot read your itineraries without GEO structured data.",Ready to Send (2:45 PM CAT),Ready to Send (6:30 PM CAT),Scheduled,Growing safari operator.
Inganzo Boutique Hotel,Rwanda (Kigali),Boutique Hotel & Executive Suites,General Manager / Owner,reservations@inganzohotel.com,info@inganzohotel.com,2.50788E+11,2.50788E+11,https://inganzohotel.com,https://instagram.com/inganzohotel,https://facebook.com/inganzoboutiquehotel,AI search assistants (ChatGPT/Perplexity) route Kigali business travelers to Expedia and Booking.com.,2400,Diplomatic and business travelers planning stays in Kigali via AI assistants are bypassing Inganzo Hotel direct rates.,Ready to Send (2:45 PM CAT),Ready to Send (6:30 PM CAT),Scheduled,Kigali boutique hotel.
The Court Boutique Hotel,Rwanda (Kigali),Boutique Hotel & Dining,Operations Manager / Director,reservations@thecourtboutique.com,info@thecourtboutique.com,2.50788E+11,2.50788E+11,https://thecourtboutique.com,https://instagram.com/thecourtboutiquehotel,https://facebook.com/thecourtboutique,GBP missing secondary category tags and entity schema; invisible to ChatGPT prompt for Kigali luxury stays.,2100,The Court Boutique Hotel is losing direct corporate reservations to OTAs because Google and AI crawlers cannot index your amenities.,Ready to Send (2:45 PM CAT),Ready to Send (6:30 PM CAT),Scheduled,High-end Kigali dining and lodging.
Volcanoes Safaris (Virunga Lodge),Rwanda (Volcanoes National Park),Premier Gorilla Trekking Lodge,General Manager / Enquiries,enquiries@volcanoessafaris.com,sales@volcanoessafaris.com,2.50788E+11,2.50788E+11,https://volcanoessafaris.com,https://instagram.com/volcanoessafaris,https://facebook.com/volcanoessafaris,High-ticket gorilla trekking searches on AI return third-party overseas booking agencies taking huge agency cuts.,6500,"Travelers booking $1,500/night gorilla trekking experiences via AI concierge tools are being captured by UK/US intermediaries instead of booking direct.",Ready to Send (2:45 PM CAT),Ready to Send (6:30 PM CAT),Scheduled,Flagship ultra-luxury gorilla lodge.
Rwanda Safaris (Primate Experiences),Rwanda (Kigali),Gorilla & Primate Safari Tour Operator,Managing Director / Tour Planner,info@rwandasafaris.com,reservations@rwandasafaris.com,2.50739E+11,2.50739E+11,https://rwandasafaris.com,https://instagram.com/rwandasafaris,https://facebook.com/rwandasafaristours,Perplexity returns third-party aggregator directories for Volcanoes gorilla permits; direct local operator omitted.,4100,Rwanda Safaris is losing gorilla permit package bookings to overseas travel brokers because your itineraries lack AI entity schemas.,Ready to Send (2:45 PM CAT),Ready to Send (6:30 PM CAT),Scheduled,Top primate tour agency in Kigali.
Albertine Tours,Rwanda (Kigali),Eco-Tourism & Gorilla Trekking Agency,Director of Tourism,info@albertinetours.com,bookings@albertinetours.com,2.50789E+11,2.50789E+11,https://albertinetours.com,https://instagram.com/albertinetours,https://facebook.com/albertinetours,Missing Google 3-pack optimization for Kigali tour agencies; absent in ChatGPT prompt responses.,2900,"Albertine Tours has authentic eco-itineraries, but travelers asking AI for custom Rwanda tours are handed off to European aggregators.",Ready to Send (2:45 PM CAT),Ready to Send (6:30 PM CAT),Scheduled,Established eco tour operator.
K Hotel Douala,Cameroon (Douala Bonanjo),Luxury Business & Boutique Hotel,Directeur Général / Reservations,reservations@khoteldouala.com,info@khoteldouala.com,2.37655E+11,2.37234E+11,https://khoteldouala.com,https://instagram.com/khoteldouala,https://facebook.com/khoteldouala,ChatGPT query for premier hotels in Douala Bonanjo cites Booking.com aggregators; K Hotel direct booking engine absent.,3800,"K Hotel is Doualas premier design hotel, but international business travelers planning via AI are guided to Booking.com taking 18% on every room.",Ready to Send (2:45 PM WAT),Ready to Send (6:30 PM WAT),Scheduled,Premier Douala business hotel. High value client.
Star Land Hotel,Cameroon (Douala & Yaounde),Boutique Business Hotel & Suites,Direction Commerciale / Marketing,info@starlandhotel.com,reservations@starlandhotel.com,2.37653E+11,2.37233E+11,https://starlandhotel.com,https://instagram.com/starlandhotel,https://facebook.com/starlandhotel,Lacks JSON-LD schema across both Bonapriso and Bastos properties; absent from AI Overviews.,3500,Star Land Hotel is leaking thousands monthly to international OTAs across your Douala and Yaoundé properties due to missing AI search schema.,Ready to Send (2:45 PM WAT),Ready to Send (6:30 PM WAT),Scheduled,Multi-city Cameroon boutique operator.
Hôtel Océan Kribi,Cameroon (Kribi),Seaside Resort & Eco Lodge,Directeur d Exploitation,reservation@hoteloceankribi.com,contact@hoteloceankribi.com,2.37695E+11,2.3767E+11,https://hoteloceankribi.com,https://instagram.com/hoteloceankribi,https://facebook.com/hoteloceankribi,Perplexity search for best seaside eco lodges in Kribi returns generic directory sites without direct hotel citation.,1800,Tourists seeking seaside resort getaways in Kribi via Google and AI are not seeing Hôtel Océan direct booking rates.,Ready to Send (2:45 PM WAT),Ready to Send (6:30 PM WAT),Scheduled,Top leisure destination in Cameroon.
West Hotel Douala,Cameroon (Douala Akwa),Boutique City Hotel,Direction / Réception,reservations@westhoteldouala.com,info@westhoteldouala.com,2.37695E+11,2.37695E+11,https://westhoteldouala.com,https://instagram.com/westhoteldouala,https://facebook.com/westhoteldouala,Missing GBP secondary categories and room schema; dropped to page 2 on Google organic.,2200,West Hotel in Akwa is paying OTAs 18% per reservation on guests searching for central Douala business lodging.,Ready to Send (2:45 PM WAT),Ready to Send (6:30 PM WAT),Scheduled,Central business hotel in Douala.
Global Bush Travel & Tourism,Cameroon (Douala & National Parks),Wildlife & Cultural Tour Operator,Directeur des Opérations,info@globalbushtroop.com,contact@globalbushtroop.com,2.37677E+11,2.37677E+11,https://globalbushtroop.com,https://instagram.com/globalbushtours,https://facebook.com/globalbushtravel,AI search assistants (ChatGPT/Perplexity) recommend European aggregators for Cameroon wildlife tours; local direct site invisible.,3100,"Global Bush has Cameroon’s top eco-tours, but travelers asking AI to plan Cameroon wildlife trips are sent to foreign intermediaries.",Ready to Send (2:45 PM WAT),Ready to Send (6:30 PM WAT),Scheduled,Premier tour operator in Cameroon.
